fecha	alpha	lambda	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	gamma	subsample	nrounds	ganancia	iteracion
20230718 030516	0	0	auto	depthwise	256	0	7.13078140214216	0.782176454223518	0.674956824948701	28	31	69	0.482147740091023	79	3.98828918621835	1
20230718 031703	0	0	auto	depthwise	256	0	7.13078140214216	0.907846593917056	0.266896810871549	17	34	59	0.896545576091739	26	3.96101564122945	2
20230718 032848	0	0	auto	depthwise	256	0	7.13078140214216	0.330086026814242	0.513769109244458	15	27	31	0.666321980694192	16	3.98345890576466	3
20230718 034009	0	0	auto	depthwise	256	0	7.13078140214216	0.447821900668496	0.237091117616122	32	30	37	0.652266644952761	17	4.02321253513535	4
20230718 035718	0	0	auto	depthwise	256	0	7.13078140214216	0.740789569507761	0.620200634809832	19	22	44	0.419351865763019	63	4.00042983795561	5
20230718 041111	0	0	auto	depthwise	256	0	7.13078140214216	0.29736107400473	0.548919832341684	44	10	39	0.798255568559398	30	3.9930005959787	6
20230718 042111	0	0	auto	depthwise	256	0	7.13078140214216	0.487276233264711	0.854275522745835	41	22	63	0.988832329043362	9	3.96182320883417	7
20230718 043752	0	0	auto	depthwise	256	0	7.13078140214216	0.609686234175752	0.48337212347736	24	5	6	0.76195506676595	54	4.01479777142012	8
20230718 044954	0	0	auto	depthwise	256	0	7.13078140214216	0.175551346531138	0.923257439870698	1	24	71	0.593076567594835	5	3.98159902387995	9
20230718 051310	0	0	auto	depthwise	256	0	7.13078140214216	0.397416722112393	0.807339291926473	36	20	94	0.391180812577659	100	3.96093766821097	10
20230718 052243	0	0	auto	depthwise	256	0	7.13078140214216	0.565047615349758	0.36197729248864	10	40	23	0.290108085151587	7	3.98927415608469	11
20230718 053213	0	0	auto	depthwise	256	0	7.13078140214216	0.964352997653477	0.587278741699023	30	48	77	0.545339928969042	7	3.9706956471612	12
20230718 054236	0	0	auto	depthwise	256	0	7.13078140214216	0.689590908928076	0.213488578028046	27	17	85	0.941901459700603	14	4.00381582447362	13
20230718 060051	0	0	auto	depthwise	256	0	7.13078140214216	0.0944250194856431	0.638114765589125	48	41	18	0.624112014287675	21	4.01131377289792	14
